"route_id","service_id","trip_id","trip_headsign","shape_id"
"27","HOLIDAY","508523","Коматево","6632"
"27","HOLIDAY","508524","Коматево","6632"
"27","HOLIDAY","508525","Коматево","6632"
"27","HOLIDAY","508526","Коматево","6632"
"27","HOLIDAY","508527","Коматево","6632"
"27","HOLIDAY","508528","Коматево","6632"
"27","HOLIDAY","508529","Коматево","6632"
"27","HOLIDAY","508530","Коматево","6632"
"27","HOLIDAY","508531","Коматево","6632"
"27","HOLIDAY","508532","Коматево","6632"
"27","HOLIDAY","508533","Коматево","6632"
"27","HOLIDAY","508534","Коматево","6632"
"27","HOLIDAY","508535","Коматево","6632"
"11","HOLIDAY","508600","Гагарин","6635"
"11","HOLIDAY","508601","Гагарин","6635"
"11","HOLIDAY","508602","Гагарин","6635"
"11","HOLIDAY","508604","Гагарин","6635"
"11","HOLIDAY","508605","Гагарин","6635"
"11","HOLIDAY","508606","Гагарин","6635"
"11","HOLIDAY","508607","Гагарин","6635"
"11","HOLIDAY","508609","Гагарин","6635"
"11","HOLIDAY","508610","Гагарин","6635"
"11","HOLIDAY","508612","Гагарин","6635"
"11","HOLIDAY","508614","Гагарин","6635"
"11","HOLIDAY","508615","Гагарин","6635"
"11","HOLIDAY","508617","Гагарин","6635"
"11","HOLIDAY","508618","Гагарин","6635"
"11","HOLIDAY","508620","Гагарин","6635"
"11","HOLIDAY","508621","Гагарин","6635"
"11","HOLIDAY","508623","Гагарин","6635"
"11","HOLIDAY","508624","Гагарин","6635"
"11","HOLIDAY","508626","Гагарин","6635"
"11","HOLIDAY","508628","Гагарин","6635"
"11","HOLIDAY","508629","Гагарин","6635"
"11","HOLIDAY","508631","Гагарин","6635"
"11","HOLIDAY","508632","Гагарин","6635"
"11","HOLIDAY","508634","Гагарин","6635"
"11","HOLIDAY","508635","Гагарин","6635"
"11","HOLIDAY","508637","Гагарин","6635"
"11","HOLIDAY","508639","Гагарин","6635"
"11","HOLIDAY","508640","Гагарин","6635"
"11","HOLIDAY","508642","Гагарин","6635"
"11","HOLIDAY","508643","Гагарин","6635"
"11","HOLIDAY","508645","Гагарин","6635"
"11","HOLIDAY","508647","Гагарин","6635"
"11","HOLIDAY","508648","Гагарин","6635"
"11","HOLIDAY","508650","Гагарин","6635"
"11","HOLIDAY","508652","Гагарин","6635"
"11","HOLIDAY","508653","Гагарин","6635"
"11","HOLIDAY","508655","Гагарин","6635"
"11","HOLIDAY","508656","Гагарин","6635"
"11","HOLIDAY","508658","Гагарин","6635"
